student_id,topic,learning_style,difficulty_level,quiz_score,time_spent_minutes,attempts,engagement_score,next_content_level
183,Mathematics,Practice,Easy,57.3,30.2,4,39.7,Medium
184,Physics,Textual,Hard,72.9,35.1,2,51.0,Medium
185,Physics,Textual,Easy,73.7,50.7,4,54.1,Medium
186,Biology,Practice,Easy,69.8,53.5,1,56.0,Medium
187,Chemistry,Visual,Medium,70.6,63.1,1,59.2,Medium
188,Mathematics,Visual,Hard,56.8,34.4,3,41.7,Medium
189,Mathematics,Practice,Easy,75.4,22.8,4,46.5,Medium
190,Computer Science,Visual,Medium,42.4,32.3,1,35.9,Easy
191,Physics,Visual,Medium,97.0,34.4,1,63.8,Hard
192,Chemistry,Textual,Hard,95.7,33.0,5,58.8,Hard
193,Biology,Practice,Hard,65.1,44.7,1,51.0,Medium
194,Physics,Visual,Medium,85.8,55.5,3,62.6,Hard
195,Biology,Practice,Easy,65.6,38.8,1,49.4,Medium
196,Computer Science,Practice,Easy,70.1,52.5,2,54.8,Medium
197,Computer Science,Visual,Medium,59.8,59.6,5,48.8,Medium
198,Mathematics,Practice,Hard,82.3,44.8,4,56.6,Hard
199,Chemistry,Textual,Easy,61.3,27.9,3,42.0,Medium
200,Biology,Textual,Easy,81.8,40.8,1,58.1,Hard
201,Physics,Practice,Hard,69.4,60.3,4,54.8,Medium
202,Computer Science,Practice,Hard,69.7,54.5,1,56.2,Medium
203,Mathematics,Visual,Hard,47.6,29.0,5,33.5,Easy
204,Mathematics,Textual,Hard,70.9,62.7,4,56.3,Medium
205,Biology,Textual,Hard,52.8,40.0,2,42.4,Medium
206,Computer Science,Textual,Hard,70.9,28.9,2,48.1,Medium
207,Chemistry,Textual,Medium,99.1,44.5,4,64.9,Hard
208,Computer Science,Visual,Hard,49.2,22.1,2,35.2,Easy
209,Biology,Practice,Medium,67.8,54.8,3,53.3,Medium
210,Biology,Textual,Easy,60.5,62.2,5,49.9,Medium
211,Computer Science,Visual,Easy,54.4,30.0,3,39.2,Medium
212,Biology,Practice,Hard,58.1,42.5,4,43.8,Medium
213,Computer Science,Practice,Hard,92.1,58.1,3,66.5,Hard
214,Physics,Textual,Easy,96.0,25.0,5,56.5,Hard
215,Computer Science,Visual,Easy,54.3,26.7,5,36.2,Medium
216,Computer Science,Textual,Hard,76.0,41.4,4,52.4,Medium
217,Biology,Visual,Hard,56.2,40.8,3,43.3,Medium
218,Biology,Visual,Easy,59.8,45.7,5,44.6,Medium
219,Mathematics,Practice,Medium,39.3,43.4,4,34.7,Easy
220,Mathematics,Visual,Medium,100.0,25.1,5,58.5,Hard
221,Physics,Visual,Easy,86.5,20.8,1,54.5,Hard
222,Mathematics,Visual,Hard,60.2,25.2,1,42.7,Medium
223,Computer Science,Visual,Easy,74.3,52.5,5,53.9,Medium
224,Biology,Visual,Easy,64.0,59.3,4,51.8,Medium
225,Mathematics,Practice,Easy,84.2,43.7,1,60.2,Hard
226,Mathematics,Visual,Easy,64.9,55.7,5,50.2,Medium
227,Physics,Visual,Easy,67.1,35.9,2,48.3,Medium
228,Physics,Visual,Easy,60.1,39.5,3,44.9,Medium
229,Computer Science,Practice,Hard,79.1,58.9,5,58.2,Medium
230,Biology,Textual,Easy,100.0,52.0,1,70.6,Hard
231,Physics,Textual,Hard,65.7,47.6,5,48.1,Medium
232,Mathematics,Practice,Medium,65.6,42.8,4,47.6,Medium
233,Biology,Textual,Hard,69.6,27.6,1,48.1,Medium
234,Biology,Textual,Easy,73.9,46.3,4,52.8,Medium
235,Mathematics,Visual,Easy,65.5,49.6,4,49.6,Medium
236,Physics,Textual,Medium,64.1,78.1,4,57.5,Medium
237,Mathematics,Visual,Medium,71.2,43.8,5,49.7,Medium
238,Biology,Practice,Hard,43.7,39.5,1,38.7,Easy
239,Chemistry,Visual,Hard,61.8,49.2,4,47.7,Medium
240,Chemistry,Textual,Hard,40.0,66.7,2,44.0,Easy
241,Computer Science,Visual,Medium,62.6,50.3,3,49.4,Medium
242,Mathematics,Visual,Hard,55.8,42.3,5,41.6,Medium
243,Mathematics,Textual,Medium,79.4,33.2,2,53.7,Medium
244,Computer Science,Practice,Hard,59.0,32.5,1,44.2,Medium
245,Computer Science,Textual,Hard,64.5,56.7,3,52.3,Medium
246,Computer Science,Textual,Easy,37.8,40.7,4,33.1,Easy
247,Biology,Visual,Easy,85.3,75.1,2,69.2,Hard
248,Mathematics,Visual,Medium,53.7,46.3,2,44.7,Medium
249,Biology,Visual,Hard,62.8,52.3,4,49.1,Medium
250,Computer Science,Visual,Medium,81.7,36.7,4,53.9,Hard
251,Mathematics,Visual,Hard,81.7,32.7,2,54.7,Hard
252,Biology,Visual,Easy,53.3,56.5,1,48.6,Medium
253,Biology,Practice,Easy,77.9,62.9,5,58.8,Medium
254,Computer Science,Visual,Easy,52.8,30.1,1,40.4,Medium
255,Mathematics,Textual,Medium,73.5,34.0,1,52.0,Medium
256,Computer Science,Textual,Hard,58.2,35.1,5,40.6,Medium
257,Mathematics,Textual,Easy,54.8,55.1,1,48.9,Medium
258,Chemistry,Textual,Medium,70.5,50.4,3,53.4,Medium
259,Physics,Visual,Easy,59.1,43.5,4,44.6,Medium
260,Physics,Visual,Easy,100.0,33.3,2,64.0,Hard
261,Physics,Practice,Hard,60.7,69.1,5,52.1,Medium
262,Computer Science,Practice,Medium,52.1,59.7,1,49.0,Medium
263,Chemistry,Visual,Hard,56.5,15.1,2,36.8,Medium
264,Mathematics,Visual,Hard,69.7,57.9,3,55.2,Medium
265,Biology,Practice,Hard,71.7,40.7,1,53.1,Medium
266,Mathematics,Textual,Easy,74.6,36.0,1,53.1,Medium
267,Biology,Textual,Medium,83.7,56.5,1,63.8,Hard
268,Mathematics,Textual,Hard,44.9,50.3,3,40.5,Easy
269,Chemistry,Visual,Hard,84.4,46.3,4,58.1,Hard
270,Biology,Textual,Hard,56.3,31.5,2,41.6,Medium
271,Computer Science,Textual,Easy,76.0,60.2,1,61.1,Medium
272,Mathematics,Visual,Easy,95.8,26.5,1,60.8,Hard
273,Mathematics,Textual,Medium,58.0,56.6,3,49.0,Medium
274,Biology,Practice,Hard,57.4,46.3,3,45.6,Medium
275,Computer Science,Textual,Easy,54.6,44.5,2,44.6,Medium
276,Computer Science,Visual,Easy,64.9,36.7,2,47.5,Medium
277,Chemistry,Textual,Hard,89.0,47.5,1,63.8,Hard
278,Computer Science,Practice,Easy,53.3,24.4,1,39.0,Medium
279,Computer Science,Practice,Easy,62.6,63.5,1,55.4,Medium
280,Computer Science,Textual,Easy,84.6,39.0,1,59.0,Hard
281,Physics,Visual,Easy,79.4,34.7,1,55.1,Medium
282,Chemistry,Practice,Medium,62.5,42.0,3,46.8,Medium
283,Mathematics,Practice,Medium,66.8,39.4,4,47.2,Medium
284,Biology,Visual,Easy,83.7,63.7,2,65.0,Hard
285,Mathematics,Textual,Easy,93.7,19.0,3,55.6,Hard
286,Chemistry,Textual,Easy,95.5,43.9,5,61.9,Hard
287,Biology,Textual,Medium,90.7,68.7,5,67.0,Hard
288,Chemistry,Visual,Easy,59.9,46.0,5,44.8,Medium
289,Computer Science,Textual,Medium,97.3,47.8,2,67.0,Hard
290,Biology,Practice,Easy,58.9,44.6,1,47.8,Medium
291,Computer Science,Practice,Easy,45.2,35.3,5,34.2,Easy
292,Mathematics,Practice,Easy,71.7,53.1,5,52.8,Medium
293,Mathematics,Practice,Easy,92.1,42.1,4,60.7,Hard
294,Biology,Visual,Hard,80.0,47.1,3,57.1,Hard
295,Biology,Textual,Medium,68.9,53.2,2,54.4,Medium
296,Chemistry,Textual,Hard,74.4,51.6,2,56.7,Medium
297,Chemistry,Practice,Easy,78.0,46.5,4,55.0,Medium
298,Computer Science,Visual,Easy,72.2,58.5,5,54.6,Medium
299,Biology,Practice,Easy,65.6,60.2,4,52.9,Medium
300,Mathematics,Textual,Hard,58.9,56.8,1,51.5,Medium
301,Chemistry,Practice,Easy,71.7,60.8,5,55.1,Medium
302,Chemistry,Visual,Medium,68.2,65.3,2,57.7,Medium
303,Mathematics,Visual,Easy,70.1,26.9,3,46.1,Medium
304,Chemistry,Practice,Easy,85.7,86.4,4,70.8,Hard
305,Computer Science,Visual,Hard,66.3,47.3,4,49.3,Medium
306,Biology,Practice,Medium,66.9,41.4,2,49.9,Medium
307,Mathematics,Visual,Hard,72.8,47.5,5,51.6,Medium
308,Biology,Textual,Medium,100.0,22.9,5,57.9,Hard
309,Chemistry,Textual,Medium,53.6,48.5,5,42.4,Medium
310,Chemistry,Textual,Easy,86.4,33.1,3,56.1,Hard
311,Mathematics,Practice,Medium,65.5,46.1,3,49.6,Medium
312,Computer Science,Textual,Easy,69.1,47.2,5,49.7,Medium
313,Physics,Visual,Medium,50.3,36.1,3,39.0,Medium
314,Mathematics,Visual,Medium,98.2,17.9,4,56.5,Hard
315,Physics,Textual,Hard,73.3,49.1,5,52.4,Medium
316,Physics,Textual,Hard,79.9,45.0,3,56.4,Medium
317,Computer Science,Practice,Hard,47.5,47.9,4,40.1,Easy
318,Physics,Textual,Easy,60.4,38.7,4,43.8,Medium
319,Physics,Textual,Medium,76.2,35.1,3,51.6,Medium
320,Computer Science,Textual,Easy,67.6,41.8,5,47.3,Medium
321,Physics,Visual,Hard,76.7,47.1,5,53.5,Medium
322,Physics,Textual,Hard,100.0,55.1,3,69.5,Hard
323,Physics,Practice,Easy,77.6,32.8,3,51.6,Medium
324,Mathematics,Practice,Easy,63.3,56.9,1,53.7,Medium
325,Mathematics,Visual,Medium,60.2,54.8,4,48.5,Medium
326,Mathematics,Textual,Hard,58.5,52.8,5,46.1,Medium
327,Computer Science,Practice,Medium,63.6,72.5,2,57.6,Medium
328,Chemistry,Textual,Easy,64.2,18.6,4,39.7,Medium
329,Physics,Visual,Hard,71.8,74.3,5,59.2,Medium
330,Physics,Visual,Hard,77.9,35.2,1,54.5,Medium
331,Computer Science,Textual,Easy,76.5,48.6,4,54.8,Medium
332,Physics,Practice,Hard,72.0,45.7,4,51.7,Medium
333,Mathematics,Practice,Medium,73.0,24.9,5,45.0,Medium
334,Chemistry,Visual,Medium,100.0,52.9,2,69.9,Hard
335,Biology,Visual,Medium,59.2,58.0,3,50.0,Medium
336,Physics,Practice,Hard,69.4,51.3,2,54.1,Medium
337,Mathematics,Practice,Medium,43.2,22.8,1,33.4,Easy
338,Biology,Textual,Easy,64.3,26.4,4,42.1,Medium
339,Chemistry,Textual,Hard,56.5,34.5,5,39.6,Medium
340,Biology,Visual,Easy,59.1,64.1,4,50.8,Medium
341,Mathematics,Practice,Hard,52.2,46.4,3,43.0,Medium
342,Biology,Practice,Medium,49.7,15.0,2,33.4,Easy
343,Computer Science,Visual,Easy,71.8,76.0,2,62.7,Medium
344,Biology,Practice,Easy,80.7,67.5,1,65.6,Hard
345,Physics,Visual,Hard,58.4,28.7,5,38.8,Medium
346,Physics,Visual,Medium,39.6,38.9,3,34.5,Easy
347,Computer Science,Visual,Medium,71.7,40.7,3,51.1,Medium
348,Mathematics,Visual,Medium,77.0,52.8,5,55.3,Medium
349,Physics,Textual,Hard,80.1,48.0,1,59.4,Hard
350,Chemistry,Textual,Medium,54.7,34.8,3,40.8,Medium
351,Physics,Textual,Easy,60.9,64.7,1,54.9,Medium
352,Physics,Textual,Medium,53.4,71.2,5,49.1,Medium
353,Mathematics,Visual,Hard,58.9,44.3,5,43.7,Medium
354,Biology,Visual,Medium,58.2,36.4,5,41.0,Medium
355,Physics,Textual,Easy,62.4,68.9,3,54.9,Medium
356,Computer Science,Textual,Hard,66.2,12.1,5,37.7,Medium
357,Biology,Visual,Hard,71.7,31.6,3,48.3,Medium
358,Chemistry,Practice,Easy,57.3,59.7,1,51.6,Medium
359,Mathematics,Practice,Hard,67.9,65.9,4,55.7,Medium
360,Chemistry,Practice,Hard,56.4,40.2,1,45.3,Medium
361,Biology,Textual,Easy,43.7,79.2,3,48.6,Easy
362,Biology,Visual,Easy,78.1,8.3,2,45.5,Medium
363,Biology,Practice,Hard,60.1,61.4,2,52.5,Medium
364,Chemistry,Visual,Hard,44.0,46.3,4,37.9,Easy
365,Biology,Textual,Easy,78.4,37.7,5,51.5,Medium
366,Chemistry,Visual,Easy,66.2,58.2,1,55.6,Medium
367,Biology,Practice,Easy,76.8,39.1,1,55.1,Medium
368,Computer Science,Visual,Medium,76.3,28.7,3,49.8,Medium
369,Biology,Practice,Easy,53.6,46.7,4,42.8,Medium
370,Chemistry,Practice,Easy,84.0,44.2,5,56.3,Hard
371,Physics,Textual,Hard,42.5,33.3,4,33.2,Easy
372,Biology,Practice,Hard,64.0,36.4,2,46.9,Medium
373,Physics,Textual,Medium,63.0,38.8,4,45.1,Medium
374,Computer Science,Practice,Medium,58.4,20.6,5,36.4,Medium
375,Mathematics,Textual,Medium,88.4,19.6,5,51.1,Hard
376,Computer Science,Practice,Medium,74.5,59.0,1,60.0,Medium
377,Biology,Textual,Hard,48.9,23.6,1,36.5,Easy
378,Physics,Practice,Hard,51.0,44.7,5,39.9,Medium
379,Physics,Textual,Easy,100.0,17.0,1,60.1,Hard
380,Chemistry,Textual,Medium,62.8,67.6,1,56.7,Medium
381,Physics,Practice,Medium,58.1,41.0,1,46.4,Medium
382,Chemistry,Practice,Medium,87.3,61.8,5,63.2,Hard
383,Mathematics,Textual,Medium,43.3,76.7,1,49.7,Easy
384,Biology,Visual,Hard,90.8,25.7,2,57.1,Hard
385,Chemistry,Textual,Hard,58.0,34.8,5,40.4,Medium
386,Mathematics,Practice,Medium,77.7,58.1,4,58.3,Medium
387,Physics,Practice,Hard,62.8,35.5,3,45.0,Medium
388,Physics,Practice,Hard,46.4,49.4,3,41.0,Easy
389,Mathematics,Visual,Hard,72.7,46.5,2,54.3,Medium
390,Physics,Textual,Hard,84.2,9.9,5,46.1,Hard
391,Mathematics,Textual,Easy,34.8,59.2,4,37.2,Easy
392,Chemistry,Practice,Easy,52.7,42.9,5,40.2,Medium
393,Chemistry,Visual,Hard,88.6,27.1,4,54.4,Hard
394,Mathematics,Practice,Hard,76.0,68.2,4,60.5,Medium
395,Chemistry,Textual,Hard,77.0,34.5,5,49.8,Medium
396,Chemistry,Visual,Easy,84.0,33.6,1,57.1,Hard
397,Chemistry,Visual,Medium,77.0,18.0,3,46.9,Medium
398,Computer Science,Visual,Easy,72.2,53.9,1,57.3,Medium
399,Biology,Textual,Medium,86.7,45.6,3,60.0,Hard
400,Physics,Visual,Easy,64.1,18.9,1,42.7,Medium
401,Computer Science,Visual,Easy,69.8,48.7,5,50.5,Medium
402,Chemistry,Practice,Easy,82.4,57.4,5,59.4,Hard
403,Mathematics,Visual,Medium,58.5,51.9,4,46.8,Medium
404,Chemistry,Visual,Medium,91.4,64.9,2,69.2,Hard
405,Biology,Textual,Easy,74.4,35.9,5,49.0,Medium
406,Chemistry,Textual,Easy,52.8,71.5,3,50.8,Medium
407,Mathematics,Practice,Easy,67.1,45.1,4,49.1,Medium
408,Biology,Textual,Hard,49.2,57.0,3,44.7,Easy
409,Chemistry,Practice,Easy,71.3,64.2,1,59.9,Medium
410,Biology,Textual,Medium,64.3,84.7,2,61.6,Medium
411,Physics,Visual,Hard,57.0,28.8,5,38.1,Medium
412,Physics,Visual,Medium,43.3,33.9,1,36.8,Easy
413,Chemistry,Textual,Hard,58.1,47.8,4,45.4,Medium
414,Biology,Textual,Medium,67.3,39.4,3,48.5,Medium
415,Mathematics,Practice,Hard,64.4,33.0,2,46.1,Medium
416,Chemistry,Textual,Easy,48.7,22.1,5,32.0,Easy
417,Physics,Textual,Hard,70.3,46.9,3,52.2,Medium
418,Physics,Visual,Hard,55.2,56.9,5,45.7,Medium
419,Chemistry,Visual,Medium,83.8,50.3,5,58.0,Hard
